524544,1,19.31681382,16.75084186,21.55337379
452736,4,19.9995392,17.19610027,25.48869551
483151-1,1,14.69050823,15.82054045,15.56653719
451333-2-AIS,2,14.24402824,15.14058692,16.45024313
486246,3,17.098752,19.4701824,11.6886
481274,4,32.96346353,35.26836706,31.51685039
574708,4,30.40048729,29.70751657,35.85237478
471164,3,20.85245747,18.32487731,17.62214269
465305,4,26.71117671,25.99431104,25.8909585
515316,2,16.83433123,17.75194417,17.27867868
480214,3,16.70695161,16.94614002,19.55574869
606213,4,36.11428395,29.17833716,38.67491166
534091,4,56.08603636,47.46244364,43.11944806
612850,4,17.74436452,20.01402991,18.23678704
612999,4,23.33840744,24.42342954,20.26368663
507166,4,30.50445501,34.05821195,22.86308805
600144,3,23.25045848,18.62589352,21.80781623
614040-3-MIA,3,16.55202833,18.91658702,16.32132693
478521,3,25.57466713,20.19051965,26.46318222
494024,2,12.39740544,14.95769856,13.95782659
496360,4,42.32128917,36.71084011,38.64256847
617940,4,43.69258543,35.3843348,34.31699766
603676,4,32.58789647,45.06232471,45.80680119
586167,3,19.0227329,20.91700192,22.35109466
574516,3,15.78629771,17.78110446,14.00988108
569363-2-MIA,3,23.9551565,30.60666117,34.26719636
493497,3,21.59549801,31.02754614,25.74309194
597516-1,4,29.50058667,27.39990756,32.75012888
529110,4,44.00196267,44.54540326,45.51779065
621332,4,17.75812873,24.76777779,27.4848007
451516,4,24.56828928,30.33388032,24.74871
489809,2,20.28504723,17.53168096,20.51403764
574870-1-AIS,2,12.9728007,12.83188211,16.8780815
620048-2-AIS,2,15.83010278,15.01832678,17.7478105
534910-1,1,32.9504,27.23062272,16.94274454
597144-2,2,28.51404387,30.86055226,32.88356017
515503,4,26.07671808,36.5159424,26.55253696
459177,4,31.38279849,23.23191306,26.59759617
574168,2,19.34262664,21.13539614,19.01224732
606320-2,2,22.09539248,23.4960435,18.29395098
452272,4,23.31844608,19.28260608,24.29553
500079,3,22.26785948,23.63790077,25.94408757
536335,4,32.74256812,34.73762579,42.68385565
549693-1,1,34.89649116,34.09578667,35.2558537
556722,2,12.866112,18.93079138,16.47880105
455637,3,18.98911274,23.47798961,19.46987929
529625,2,26.24490466,25.42885948,24.39581457
564833-2,2,27.22510336,19.86141696,19.76500533
465983,4,23.49163492,16.62829472,18.19273274
603889,4,53.36768907,47.46901394,50.33852217
550515,4,37.25042526,32.91971368,47.04397962
492799-1,3,14.4028416,15.9213824,12.7511861
467560,4,35.33333558,34.11411537,35.22358575
557316,4,41.30252079,56.24356056,48.9719135
567603-2,2,11.93546152,9.969792,11.76237768
451050,4,33.9934446,29.85546862,35.00068964
616666,4,25.86255655,24.01519793,26.40696075
514884,3,20.27440128,23.00931584,17.71883101
497402,1,19.5401439,15.5837707,16.43383209
548806,4,25.68103822,25.51810844,28.95129731
